Time (min),ERK,
0,0,
0.32,6,
0.4683,12,
0.5933,18,
0.805,24,
0.91,30,
1.0333,36,
1.075,30,
1.1467,36,
1.2783,42,
1.3917,36,
1.405,42,
1.57,48,
1.67,42,
1.7317,48,
1.9483,48,
2.19,54,
2.195,48,
2.4133,54,
2.4467,48,
2.6583,54,
2.6883,48,
2.8867,54,
2.935,48,
3.12,54,
3.185,48,
3.3517,54,
3.4283,48,
3.5833,54,
3.68,48,
3.8133,54,
3.9217,48,
4.0567,54,
4.1683,48,
4.2883,54,
4.4217,48,
4.5267,54,
4.6617,48,
4.76,54,
4.91,48,
4.9983,54,
5.1617,48,
5.2367,54,
5.4017,48,
5.485,54,
5.6483,48,
5.7183,54,
5.895,48,
5.9567,54,
6.1417,48,
6.2133,54,
6.3883,48,
6.4917,54,
6.635,48,
6.8217,54,
6.885,48,
7.4383,42,
7.4817,48,
7.7167,42,
7.885,48,
7.995,42,
8.3117,42,
8.6283,36,
8.7883,42,
8.945,36,
9.3217,36,
9.685,30,
10.13,30,
10.575,24,
11.13,24,
11.685,18,
12.425,12,
12.7967,18,
13.165,12,
14.2767,6,
16.4983,0,
30,0,
