Time (min),ERK,
0,0,
0.32,1,
0.4683,2,
0.5933,3,
0.805,4,
0.91,5,
1.0333,6,
1.075,5,
1.1467,6,
1.2783,7,
1.3917,6,
1.405,7,
1.57,8,
1.67,7,
1.7317,8,
1.9483,8,
2.19,9,
2.195,8,
2.4133,9,
2.4467,8,
2.6583,9,
2.6883,8,
2.8867,9,
2.935,8,
3.12,9,
3.185,8,
3.3517,9,
3.4283,8,
3.5833,9,
3.68,8,
3.8133,9,
3.9217,8,
4.0567,9,
4.1683,8,
4.2883,9,
4.4217,8,
4.5267,9,
4.6617,8,
4.76,9,
4.91,8,
4.9983,9,
5.1617,8,
5.2367,9,
5.4017,8,
5.485,9,
5.6483,8,
5.7183,9,
5.895,8,
5.9567,9,
6.1417,8,
6.2133,9,
6.3883,8,
6.4917,9,
6.635,8,
6.8217,9,
6.885,8,
7.4383,7,
7.4817,8,
7.7167,7,
7.885,8,
7.995,7,
8.3117,7,
8.6283,6,
8.7883,7,
8.945,6,
9.3217,6,
9.685,5,
10.13,5,
10.575,4,
11.13,4,
11.685,3,
12.425,2,
12.7967,3,
13.165,2,
14.2767,1,
16.4983,0,
30,0,
