Time (min),ERK,
0,0,
0.465,6,
0.68,12,
0.835,18,
0.8367,12,
0.9817,18,
1.1183,24,
1.2667,30,
1.28,24,
1.4067,30,
1.5767,36,
1.65,30,
1.7117,36,
1.8933,42,
1.9667,36,
2.0617,42,
2.2833,42,
2.505,48,
2.5617,42,
2.7267,48,
2.84,42,
2.9483,48,
3.1183,42,
3.1817,48,
3.3967,42,
3.405,48,
3.675,48,
3.9533,42,
3.955,48,
4.2317,48,
4.7883,48,
5.0667,48,
5.6233,42,
5.625,48,
6.4583,48,
6.7367,48,
7.015,48,
7.2933,48,
7.5717,48,
8.1283,48,
8.4067,48,
8.685,48,
8.9633,48,
9.2417,48,
9.7983,48,
10.0767,48,
10.6333,42,
10.6517,48,
10.9167,42,
10.94,48,
11.19,42,
11.2333,48,
11.4683,42,
11.565,48,
11.7467,42,
11.8883,48,
12.025,42,
12.205,48,
12.3033,42,
12.5533,48,
12.5817,42,
12.8883,42,
13.5217,42,
13.8383,42,
14.155,42,
14.4717,42,
14.7883,36,
14.8067,42,
15.105,36,
15.1383,42,
15.4217,36,
15.4417,42,
15.7383,36,
15.7717,42,
16.055,36,
16.105,42,
16.3717,36,
16.4383,42,
16.6883,36,
16.7783,42,
17.005,36,
17.1417,42,
17.3217,36,
17.5583,42,
17.6383,36,
17.9283,42,
17.955,36,
18.325,36,
18.695,36,
19.065,36,
19.435,36,
19.805,36,
20.175,30,
20.1867,36,
20.915,36,
21.2867,36,
21.655,36,
22.025,30,
22.0367,36,
22.395,30,
22.49,36,
22.765,30,
22.935,36,
23.135,30,
23.345,36,
23.505,30,
23.79,36,
23.875,30,
24.235,36,
24.245,30,
24.69,24,
24.79,30,
25.135,24,
25.345,30,
25.58,24,
25.79,30,
26.025,24,
26.345,30,
26.47,24,
26.9,30,
26.915,24,
27.345,30,
27.36,24,
27.89,24,
28.445,24,
29,24,
29.555,24,
30,24,
