Time (min),ERK
0,0
0.465,1
0.68,2
0.835,3
0.8367,2
0.9817,3
1.1183,4
1.2667,5
1.28,4
1.4067,5
1.5767,6
1.65,5
1.7117,6
1.8933,7
1.9667,6
2.0617,7
2.2833,7
2.505,8
2.5617,7
2.7267,8
2.84,7
2.9483,8
3.1183,7
3.1817,8
3.3967,7
3.405,8
3.675,8
3.9533,7
3.955,8
4.2317,8
4.7883,8
5.0667,8
5.6233,7
5.625,8
6.4583,8
6.7367,8
7.015,8
7.2933,8
7.5717,8
8.1283,8
8.4067,8
8.685,8
8.9633,8
9.2417,8
9.7983,8
10.0767,8
10.6333,7
10.6517,8
10.9167,7
10.94,8
11.19,7
11.2333,8
11.4683,7
11.565,8
11.7467,7
11.8883,8
12.025,7
12.205,8
12.3033,7
12.5533,8
12.5817,7
12.8883,7
13.5217,7
13.8383,7
14.155,7
14.4717,7
14.7883,6
14.8067,7
15.105,6
15.1383,7
15.4217,6
15.4417,7
15.7383,6
15.7717,7
16.055,6
16.105,7
16.3717,6
16.4383,7
16.6883,6
16.7783,7
17.005,6
17.1417,7
17.3217,6
17.5583,7
17.6383,6
17.9283,7
17.955,6
18.325,6
18.695,6
19.065,6
19.435,6
19.805,6
20.175,5
20.1867,6
20.915,6
21.2867,6
21.655,6
22.025,5
22.0367,6
22.395,5
22.49,6
22.765,5
22.935,6
23.135,5
23.345,6
23.505,5
23.79,6
23.875,5
24.235,6
24.245,5
24.69,4
24.79,5
25.135,4
25.345,5
25.58,4
25.79,5
26.025,4
26.345,5
26.47,4
26.9,5
26.915,4
27.345,5
27.36,4
27.89,4
28.445,4
29,4
29.555,4
30,4
